id,de,en,es,fr,phe,kcal,protein,fat,carbs,sugar,fiber,salt,emoji
C131000,"Hafer ganzes Korn, roh","Oat whole grain, raw","Avena grano entero, cruda","Avoine grain entier, crue",0.605,343,11.375,7.09,53.7,1.08,9.3,0.02,🥣
C133000,Hafer Flocken,Oat flakes,Copos de avena,Flocons d'avoine,0.78,348,13.22,6.65,53.3,0.74,10.983,0.00495,🥣
C141000,"Gerste ganzes Korn, roh","Barley whole grain, raw","Cebada grano entero, cruda","Orge grain entier, crue",0.602,332,11.244,2.1,62.6,1.71,8.7,0.045,🌾
C243000,Gerste Mehl,Barley flour,Harina de cebada,Farine d'orge,0.589,340,11.3,2,62.6,1.71,13,0.02,🌾
C341000,Mais roh,Maize raw,Maíz crudo,Maïs cru,0.46025,336,8.656,3.8,62.84,1.39,7.7,0.015,🌽
C443000,Mais Mehl,Maize flour,Harina de maíz,Farine de maïs,0.41,330,8.663,2.82,62.84,1.39,9.42,0.002,🌽
C352000,"Reis poliert, roh",White rice raw,"Arroz blanco, crudo","Riz blanc, cru",0.39,351,7.931,0.62,77.1,0.28,2.5,0.03942,🍚
C359000,"Reis parboiled, poliert, roh","Rice parboiled, raw","Arroz vaporizado, blanco, crudo","Riz étuvé, blanc, cru",0.409,333,8.125,1.03,72.1,0.34,1.4,0.005,🍚
E401000,"Teigwaren eifrei, roh","Pasta egg-free, raw","Pasta sin huevo, cruda","Pâtes sans œuf, crues",0.6,346,12.4,1.6,68.833,2.015,3.406,0.0078,🍝
E510000,"Vollkornteigwaren eifrei, roh","Wholemeal pasta egg-free, raw","Pasta integral sin huevo, cruda","Pâtes complètes sans œuf, crues",0.7,356,14.3,2.93,62.9,2.8,10.2,0.01,🍝
F301100,Erdbeere roh,Strawberry raw,Fresa cruda,Fraise crue,0.025,38,0.82,0.4,5.917,5.857,2,0.002,🫐
F302100,Himbeere roh,Raspberry raw,Frambuesa cruda,Framboise crue,0.037,43,1,0.3,5.2,5.2,4.7,0.0012,🫐
F331100,Maulbeere roh,Mulberry raw,Mora de morera cruda,Mûre de mûrier crue,0.04,51,1.37,0.39,8.1,8.1,1.7,0.015,🫐
G130100,Rucola roh,Rocket raw,Rúcula cruda,Roquette crue,0.16,21,3.6,0.4,0,0,1.7,0.075,🥬
G420100,"Stielmus/Rübstiel, roh","Turnip tops/greens, raw","Grelos, crudos","Fanes de navet, crues",0.092,18,1.5,0.3,0.81,0.81,3.2,0.1,🥬
G541100,"Gemüsepaprika grün, roh","Sweet pepper green, raw","Pimiento verde, crudo","Poivron vert, cru",0.033,38,1.08,0.24,6.88,6.51,2,0.012,🫑
G543100,"Gemüsepaprika rot, roh","Sweet pepper red, raw","Pimiento rojo, crudo","Poivron rouge, cru",0.034,36,1.025,0.2,6.19,6.19,2.2,0.00312,🫑
G611100,"Kohlrübe/Steckrübe, roh",Swede raw,"Rutabaga, cruda","Rutabaga, cru",0.04,22,1.25,0.16,2.3,1.39,2.9,0.025,🥕
G660100,Knollensellerie roh,Celeriac raw,Apionabo crudo,Céleri-rave cru,0.047,30,1.55,0.33,2.77,2.11,4.2,0.192,🥕
G614100,"Weiße Rübe/Wasserrübe/Herbstrübe, roh",Turnip raw,"Nabo, crudo","Navet, cru",0.018,40,0.99,0.22,6.58,5.67,3.49,0.145,🥕
H640100,"Alfalfasprossen/Alfalfakeimlinge, roh","Lucerne/alfalfa sprouts, raw","Brotes de alfalfa, crudos","Germes de luzerne, crus",0.2,29,4,0.69,0.3,0.3,2.8,0.015,🌱
H662100,"Linsensprossen/Linsenkeimlinge, roh",Lentils sprouted raw,"Brotes de lenteja, crudos","Germes de lentille, crus",0.189,29,4.65,0.39,0.3,0.3,2.8,0.015,🌱
H861000,Tofu,Tofu,Tofu,Tofu,0.87,115,15.51,5.63,0,0,1.3,0.032,🫘
H861100,Seidentofu,Silken tofu,Tofu sedoso,Tofu soyeux,0.26,46,4.57,2.9,0,0,0.6,0.018,🫘
M012100,Roquefort mind. 50 % Fett i. Tr.,Roquefort min. 50 % fat in dry matter,Roquefort mín. 50 % grasa en extracto seco,Roquefort min. 50 % MG sur extrait sec,1.118,363,21.5,30.6,0,0,0,3.74,🥛
M5B1600,Gorgonzola mind. 48 % Fett i. Tr.,Gorgonzola cheese min. 48 % fat in dry matter,Gorgonzola mín. 48 % grasa en extracto seco,Gorgonzola min. 48 % MG sur extrait sec,0.97,329,18.65,28.06,0,0,0,1.868,🥛
M881000,"Milchpulver mit hohem Fettgehalt (Sahnepulver, Rahmpulver)",Milk powder with high fat content (cream powder),Leche en polvo rica en grasa (nata en polvo),Lait en poudre riche en matière grasse (crème en poudre),1.1,586,21.6,42,28.3,28.3,0,0.675,🥛
M882000,Vollmilchpulver,Whole milk powder,Leche entera en polvo,Lait entier en poudre,1.22,483,24.687,26.2,35.1,35.1,0,0.928,🥛
M884000,Magermilchpulver,Skimmed milk powder,Leche desnatada en polvo,Lait écrémé en poudre,1.7,347,34.287,0.48,50.5,50.5,0,1.392,🥛
M886000,Buttermilchpulver,Buttermilk powder,Suero de mantequilla en polvo,Babeurre en poudre,1.6,363,32.719,6.75,42.12,42.12,0,0.885,🥛
N500900,Kaffeeersatzpulver,Coffee substitute powder,Sucedáneo de café en polvo,Succédané de café en poudre,0.21,279,3.97,0.08,51.25,7.62,28.7,0.2312,☕
N540900,Zichorienkaffeepulver,Chicory coffee powder,Café de achicoria en polvo,Café de chicorée en poudre,0.36,304,6.8,1.6,51.25,7.62,28.7,0.39,☕
P353100,Apfelwein,Cider,Sidra,Cidre,0,44,0,0,4,4,0,0.01,🍷
P752100,Obstbrand/Obstwasser,Fruit spirit,Aguardiente de fruta,Eau-de-vie de fruits,0,274,0,0,0,0,0,0.002,🥃
P712000,Wodka,Vodka,Vodka,Vodka,0,225,0,0,0,0,0,0.002,🥃
P741000,"Rum 37,5/40 % vol",Rum 37.5/40 % vol,"Ron 37,5/40 % vol","Rhum 37,5/40 % vol",0,214,0,0,0,0,0,0.002,🥃
T102100,Hering roh,Herring raw,Arenque crudo,Hareng cru,0.716,150,17.2,9.005,0,0,0,0.24,🐟
T102600,Bückling (Hering) heiß geräuchert,Herring smoked,Arenque ahumado en caliente (Bückling),Hareng saur (Bückling),0.85,224,21.2,15.5,0,0,0,1.63,🐟
T106600,Sprotte geräuchert,Sprat smoked,Espadín ahumado,Sprat fumé,0.739,243,19.4,18.4,0,0,0,1.962,🐟
T302100,Steinbutt roh,Turbot raw,Rodaballo crudo,Turbot cru,0.725,82,16.7,1.73,0,0,0,0.285,🐟
T306100,"Heilbutt/Weißer Heilbutt, roh","Halibut/white halibut, raw","Fletán blanco, crudo","Flétan blanc, cru",0.68,133,20.1,5.83,0,0,0,0.168,🐟
T501100,Karpfen roh,Carp raw,Carpa cruda,Carpe crue,0.89,119,18,5.18,0,0,0,0.075,🐟
T502100,"Blei/Brachsen/Brasse, roh",Common bream raw,"Brema, cruda","Brème, crue",0.82,96,16.6,3.31,0,0,0,0.082,🐟
T601100,"Barsch/Flussbarsch, roh",European perch raw,"Perca de río, cruda","Perche, crue",0.86,79,18.4,0.6,0,0,0,0.118,🐟
